,Model number,Window Size,Learning rate,Hidden layers,Dropout,L2,Batch size,Epochs,Train MAE,Val MAE,Gap TrainVal MAE,Early stopping epoch
6,7,6,0.001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.0001,256,50,25.611791610717773,27.891021728515625,-2.2792000770568848,0
37,38,48,0.0005,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,256,50,25.429880142211914,28.041942596435547,-2.6120998859405518,0
0,1,6,0.001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,256,50,25.770082473754883,28.047941207885742,-2.277899980545044,0
10,11,6,0.0005,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.0001,512,50,25.8345890045166,28.053647994995117,-2.219099998474121,0
25,26,24,0.0005,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,256,50,25.687185287475586,28.098848342895508,-2.4117000102996826,0
15,16,12,0.001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,512,50,25.818819046020508,28.113435745239258,-2.294600009918213,0
31,32,24,0.0005,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.0001,256,50,25.77347183227539,28.146900177001953,-2.3733999729156494,0
28,29,24,0.0005,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,512,50,25.788589477539062,28.14792823791504,-2.359299898147583,0
39,40,48,0.001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,512,50,25.54546546936035,28.15484619140625,-2.6094000339508057,0
13,14,12,0.0005,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,256,50,25.85157585144043,28.15700340270996,-2.3053998947143555,0
19,20,12,0.0005,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.0001,256,50,25.87068748474121,28.177810668945312,-2.3071000576019287,0
27,28,24,0.001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,512,50,25.888568878173828,28.185115814208984,-2.2964999675750732,0
48,49,72,0.001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,256,50,25.33984375,28.1971435546875,-2.857300043106079,0
9,10,6,0.001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.0001,512,50,25.867515563964844,28.201704025268555,-2.334199905395508,0
30,31,24,0.001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.0001,256,50,25.81201171875,28.23021697998047,-2.4182000160217285,0
36,37,48,0.001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,256,50,25.484514236450195,28.231372833251953,-2.7469000816345215,0
12,13,12,0.001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,256,50,25.879478454589844,28.261573791503906,-2.3821001052856445,0
3,4,6,0.001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,512,50,25.943235397338867,28.267799377441406,-2.3245999813079834,0
1,2,6,0.0005,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,256,50,26.00485610961914,28.317598342895508,-2.312700033187866,0
8,9,6,0.0001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.0001,256,50,26.155902862548828,28.38136863708496,-2.2255001068115234,0
34,35,24,0.0005,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.0001,512,50,26.096773147583008,28.4112606048584,-2.314500093460083,0
4,5,6,0.0005,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,512,50,26.073461532592773,28.414548873901367,-2.341099977493286,0
16,17,12,0.0005,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,512,50,26.127906799316406,28.41555404663086,-2.287600040435791,0
49,50,72,0.0005,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,256,50,25.729646682739258,28.439720153808594,-2.710099935531616,0
45,46,48,0.001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.0001,512,50,25.726642608642578,28.454811096191406,-2.7281999588012695,0
21,22,12,0.001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.0001,512,50,26.140583038330078,28.460119247436523,-2.319499969482422,0
54,55,72,0.001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.0001,256,50,25.883499145507812,28.467422485351562,-2.583899974822998,0
24,25,24,0.001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,256,50,25.964344024658203,28.479990005493164,-2.5155999660491943,0
55,56,72,0.0005,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.0001,256,50,25.71116065979004,28.484359741210938,-2.773200035095215,0
46,47,48,0.0005,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.0001,512,50,25.957643508911133,28.495136260986328,-2.5374999046325684,0
2,3,6,0.0001,"[128, 64, 32]","[0, 0.4, 0.3, 0.2]",0.001,256,50,26.281362533569336,28.513195037841797,-2.231800079345703,0
