,Model number,Window Size,Learning rate,Hidden layers,Dropout,L2,Batch size,Epochs,Train MAE,Val MAE,Gap TrainVal MAE,Early stopping epoch
6,7,21,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.6318359375,27.943254470825195,-2.3113999366760254,43
13,14,96,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.12895965576172,28.096359252929688,-2.967400074005127,54
1,2,6,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.832216262817383,28.099639892578125,-2.267400026321411,25
4,5,15,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.84745216369629,28.13213539123535,-2.2846999168395996,30
3,4,12,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.87151336669922,28.166257858276367,-2.2946999073028564,30
5,6,18,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.75048065185547,28.180025100708008,-2.429500102996826,47
0,1,3,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.943729400634766,28.220380783081055,-2.276700019836426,25
9,10,36,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.742210388183594,28.240169525146484,-2.497999906539917,35
7,8,24,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.894580841064453,28.28072738647461,-2.3861000537872314,29
8,9,30,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.912038803100586,28.287824630737305,-2.3757998943328857,24
10,11,42,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.6265811920166,28.288043975830078,-2.6614999771118164,53
2,3,9,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.95305061340332,28.295373916625977,-2.3422999382019043,28
11,12,48,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.74307632446289,28.344192504882812,-2.601099967956543,31
15,16,144,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,24.953752517700195,28.355588912963867,-3.4017999172210693,81
12,13,72,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.451974868774414,28.368263244628906,-2.916300058364868,59
16,17,168,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.118778228759766,28.645170211791992,-3.526400089263916,60
14,15,120,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.516643524169922,28.80943489074707,-3.292799949645996,58
