,Model number,Window Size,Learning rate,Hidden layers,Dropout,L2,Batch size,Epochs,Train MAE,Val MAE,Gap TrainVal MAE,Early stopping epoch
0,1,6,0.001,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,256,100,25.524045944213867,27.80236053466797,-2.2783000469207764,34
4,5,6,0.001,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.0001,256,100,25.550994873046875,27.810970306396484,-2.259999990463257,32
14,15,12,0.001,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.0001,512,100,25.582889556884766,27.841636657714844,-2.258699893951416,38
16,17,24,0.001,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,256,100,25.532455444335938,27.892711639404297,-2.360300064086914,23
8,9,12,0.001,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,256,100,25.668062210083008,27.941936492919922,-2.273900032043457,26
5,6,6,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.0001,256,100,25.702238082885742,27.95358657836914,-2.251300096511841,38
7,8,6,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.0001,512,100,25.72891616821289,27.961971282958984,-2.233099937438965,54
15,16,12,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.0001,512,100,25.759361267089844,27.985673904418945,-2.226300001144409,25
1,2,6,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,256,100,25.76154327392578,28.009403228759766,-2.2479000091552734,23
36,37,72,0.001,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.0001,256,100,24.924692153930664,28.01347541809082,-3.0887999534606934,59
18,19,24,0.001,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.621543884277344,28.041406631469727,-2.4198999404907227,34
9,10,12,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,256,100,25.753562927246094,28.051820755004883,-2.29830002784729,41
11,12,12,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.001,512,100,25.790935516357422,28.0556640625,-2.264699935913086,36
20,21,24,0.001,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.0001,256,100,25.5821475982666,28.05836296081543,-2.4762001037597656,16
22,23,24,0.001,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.0001,512,100,25.73714256286621,28.07895278930664,-2.3417999744415283,14
30,31,48,0.001,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.0001,512,100,25.410846710205078,28.08955192565918,-2.6786999702453613,31
31,32,48,0.0005,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.0001,512,100,25.524822235107422,28.104806900024414,-2.5799999237060547,42
28,29,48,0.001,"[128, 64, 32]","[0, 0.3, 0.25, 0.2]",0.0001,256,100,25.35553550720215,28.106380462646484,-2.7507998943328857,25
